关系ID,关系类型,计算权重,起始节点ID,起始节点名称,起始节点类型,起始节点社区,终止节点ID,终止节点名称,终止节点类型,终止节点社区,是否跨社区
LR359558,监管,1.0,LE322279,证券执法人员,RegulatoryAuthority,1,LE400985,行为人,Actor,1,否
LR845848,旨在导致,0.15,LE370660,特定时间的价格或价值操纵,Means,1,LE366563,影响相关证券的参考价格或者结算价格或者参考价值,Influence,1,否
LR409759,包含主体,0.95,LE134587,第二十四条,Section,1,LE400985,行为人,Actor,1,否
LR866171,包含监管机构,0.15,LE117645,第十七条,Section,1,LE322279,证券执法人员,RegulatoryAuthority,1,否
LR998149,包含主体,0.95,LE117645,第十七条,Section,1,LE400985,行为人,Actor,1,否
LR496829,包含主体,0.95,LE456227,第二十五条,Section,1,LE512505,2个以上行为人,Actor,1,否
LR903332,包含主体,0.95,LE804705,第三十三条,Section,1,LE400985,行为人,Actor,1,否
LR487654,包含主体,0.95,LE055513,第三十九条,Section,1,LE400985,行为人,Actor,1,否
LR415799,做出,1.0,LE512505,2个以上行为人,Actor,1,LE693755,事先约定的时间、价格和方式相互进行证券交易,Means,1,否
LR512534,做出,1.0,LE512505,2个以上行为人,Actor,1,LE847802,连续买卖证券,Means,1,否
LR346021,做出,1.0,LE512505,2个以上行为人,Actor,1,LE681775,联合买卖证券,Means,1,否
LR660832,具有,0.6,LE512505,2个以上行为人,Actor,1,LE489345,信息优势,Advantage,1,否
LR798083,具有,0.6,LE512505,2个以上行为人,Actor,1,LE098964,持股优势,Advantage,1,否
LR246081,具有,0.6,LE512505,2个以上行为人,Actor,1,LE609055,资金优势,Advantage,1,否
LR948246,做出,1.0,LE512505,2个以上行为人,Actor,1,LE818661,连续交易操纵,Means,1,否
LR128778,包含主体,0.95,LE030990,第三十八条,Section,1,LE400985,行为人,Actor,1,否
LR851351,依照,0.15,LE904779,证券交易所,RegulatoryAuthority,3,LE379370,《证券法》,Law,5,是
LR880188,监管,1.0,LE904779,证券交易所,RegulatoryAuthority,3,LE400985,行为人,Actor,1,是
LR249728,旨在导致,0.15,LE649389,利用不真实、不准确、不完整或不确定的重大信息,Means,1,LE099951,能够对证券市场上一般投资者的投资决策产生影响,Influence,1,否
LR561035,旨在导致,0.15,LE649389,利用不真实、不准确、不完整或不确定的重大信息,Means,1,LE691670,影响证券交易价格或交易量,Influence,1,否
LR185318,包含监管机构,0.15,LE026558,第五十三条,Section,5,LE609103,证券监管机关,RegulatoryAuthority,5,否
LR762315,旨在导致,0.15,LE847802,连续买卖证券,Means,1,LE872601,操纵证券交易价格或者证券交易量,Influence,1,否
LR986624,旨在导致,0.15,LE847802,连续买卖证券,Means,1,LE103321,影响证券交易价格或证券交易量,Influence,1,否
LR077096,需借助,0.15,LE847802,连续买卖证券,Means,1,LE489345,信息优势,Advantage,1,否
LR602839,需借助,0.15,LE847802,连续买卖证券,Means,1,LE098964,持股优势,Advantage,1,否
LR643324,需借助,0.15,LE847802,连续买卖证券,Means,1,LE609055,资金优势,Advantage,1,否
LR683156,包含,0.2,LE422805,第三章,Chapter,1,LE683388,第四十七条,Section,1,否
LR836621,包含,0.2,LE422805,第三章,Chapter,1,LE006567,第四十六条,Section,1,否
LR096827,包含,0.2,LE422805,第三章,Chapter,1,LE207376,第四十五条,Section,1,否
LR821788,包含,0.2,LE422805,第三章,Chapter,1,LE131654,第四十四条,Section,1,否
LR866676,包含,0.2,LE422805,第三章,Chapter,1,LE444633,第四十三条,Section,1,否
LR924307,包含,0.2,LE422805,第三章,Chapter,1,LE609637,第四十二条,Section,1,否
LR517257,包含,0.2,LE422805,第三章,Chapter,1,LE063646,第四十一条,Section,1,否
LR965888,包含,0.2,LE422805,第三章,Chapter,1,LE676858,第四十条,Section,1,否
LR101287,包含,0.2,LE422805,第三章,Chapter,1,LE055513,第三十九条,Section,1,否
LR163037,包含,0.2,LE422805,第三章,Chapter,1,LE030990,第三十八条,Section,1,否
LR373228,包含,0.2,LE422805,第三章,Chapter,1,LE197238,第三十七条,Section,9,是
LR485908,包含,0.2,LE422805,第三章,Chapter,1,LE706853,第三十六条,Section,9,是
LR583208,包含,0.2,LE422805,第三章,Chapter,1,LE499673,第三十五条,Section,9,是
LR124594,包含,0.2,LE422805,第三章,Chapter,1,LE556594,第三十四条,Section,1,否
LR377461,包含,0.2,LE422805,第三章,Chapter,1,LE804705,第三十三条,Section,1,否
LR602717,包含,0.2,LE422805,第三章,Chapter,1,LE171749,第三十二条,Section,1,否
LR470664,包含,0.2,LE422805,第三章,Chapter,1,LE131666,第三十一条,Section,1,否
LR930130,包含,0.2,LE422805,第三章,Chapter,1,LE174668,第三十条,Section,1,否
LR381662,包含,0.2,LE422805,第三章,Chapter,1,LE957760,第二十九条,Section,1,否
LR631351,包含,0.2,LE422805,第三章,Chapter,1,LE905579,第二十八条,Section,1,否
LR822753,包含,0.2,LE422805,第三章,Chapter,1,LE873875,第二十七条,Section,1,否
LR893931,包含,0.2,LE422805,第三章,Chapter,1,LE440226,第二十六条,Section,1,否
LR994271,包含,0.2,LE422805,第三章,Chapter,1,LE456227,第二十五条,Section,1,否
LR751360,包含,0.2,LE422805,第三章,Chapter,1,LE134587,第二十四条,Section,1,否
LR825096,包含,0.2,LE422805,第三章,Chapter,1,LE701236,第二十三条,Section,1,否
LR606435,包含,0.2,LE422805,第三章,Chapter,1,LE537454,第二十二条,Section,1,否
LR416636,包含,0.2,LE422805,第三章,Chapter,1,LE560471,第二十一条,Section,1,否
LR626181,包含,0.2,LE422805,第三章,Chapter,1,LE578096,第二十条,Section,1,否
LR711111,包含,0.2,LE422805,第三章,Chapter,1,LE294184,第十九条,Section,1,否
LR252720,包含,0.2,LE422805,第三章,Chapter,1,LE560397,第十八条,Section,1,否
LR429306,包含,0.2,LE422805,第三章,Chapter,1,LE117645,第十七条,Section,1,否
LR986105,包含,0.2,LE422805,第三章,Chapter,1,LE554375,第十六条,Section,1,否
LR712292,包含,0.2,LE422805,第三章,Chapter,1,LE511393,第十五条,Section,1,否
LR401028,包含,0.2,LE422805,第三章,Chapter,1,LE512269,第十四条,Section,1,否
LR370708,包含,0.2,LE422805,第三章,Chapter,1,LE113739,第十三条,Section,1,否
LR613468,包含主体,0.95,LE499673,第三十五条,Section,9,LE144758,工作人员,Actor,9,否
LR081492,包含主体,0.95,LE499673,第三十五条,Section,9,LE615372,专业中介机构,Actor,9,否
LR387671,包含主体,0.95,LE499673,第三十五条,Section,9,LE990638,证券咨询机构,Actor,9,否
LR609145,包含主体,0.95,LE499673,第三十五条,Section,9,LE584877,证券公司,Actor,9,否
LR861330,包含监管机构,0.15,LE413748,第五十六条,Section,5,LE074201,中国证监会,RegulatoryAuthority,5,否
LR689191,旨在导致,0.15,LE378959,尾市交易操纵,Means,1,LE287356,影响证券收市价格,Influence,1,否
LR402376,旨在导致,0.15,LE378959,尾市交易操纵,Means,1,LE703500,操纵证券收市价格,Influence,1,否
LR755963,包含监管机构,0.15,LE512269,第十四条,Section,1,LE074201,中国证监会,RegulatoryAuthority,5,是
LR570623,包含监管机构,0.15,LE512269,第十四条,Section,1,LE904779,证券交易所,RegulatoryAuthority,3,是
LR638590,包含主体,0.95,LE512269,第十四条,Section,1,LE400985,行为人,Actor,1,否
LR618880,旨在导致,0.15,LE681775,联合买卖证券,Means,1,LE872601,操纵证券交易价格或者证券交易量,Influence,1,否
LR429026,旨在导致,0.15,LE681775,联合买卖证券,Means,1,LE103321,影响证券交易价格或证券交易量,Influence,1,否
LR424848,需借助,0.15,LE681775,联合买卖证券,Means,1,LE489345,信息优势,Advantage,1,否
LR414614,需借助,0.15,LE681775,联合买卖证券,Means,1,LE098964,持股优势,Advantage,1,否
LR500663,需借助,0.15,LE681775,联合买卖证券,Means,1,LE609055,资金优势,Advantage,1,否
LR526930,旨在导致,0.15,LE483909,锁定手段,Means,1,LE703500,操纵证券收市价格,Influence,1,否
LR245646,包含监管机构,0.15,LE919426,第五十二条,Section,5,LE105707,证券监管机构,RegulatoryAuthority,5,否
LR717238,旨在导致,0.15,LE325409,在自己实际控制的账户之间进行证券交易,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR925701,旨在导致,0.15,LE212954,通过发出买入或者卖出申报,Means,1,LE331623,致使证券交易价格形成虚拟的价格水平,Influence,1,否
LR177161,旨在导致,0.15,LE212954,通过发出买入或者卖出申报,Means,1,LE232971,致使证券交易价格下跌,Influence,1,否
LR934771,旨在导致,0.15,LE212954,通过发出买入或者卖出申报,Means,1,LE882651,致使证券交易价格上涨,Influence,1,否
LR498574,旨在导致,0.15,LE133846,约定交易操纵,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR691450,包含主体,0.95,LE171749,第三十二条,Section,1,LE400985,行为人,Actor,1,否
LR984591,做出,1.0,LE560089,其工作人员,Actor,9,LE446536,抢帽子交易操纵,Means,9,否
LR571368,旨在导致,0.15,LE674827,拉抬,Means,1,LE703500,操纵证券收市价格,Influence,1,否
LR539972,旨在导致,0.15,LE053666,联合或者连续买卖,Means,1,LE872601,操纵证券交易价格或者证券交易量,Influence,1,否
LR994147,需借助,0.15,LE053666,联合或者连续买卖,Means,1,LE489345,信息优势,Advantage,1,否
LR727879,需借助,0.15,LE053666,联合或者连续买卖,Means,1,LE098964,持股优势,Advantage,1,否
LR626236,需借助,0.15,LE053666,联合或者连续买卖,Means,1,LE609055,资金优势,Advantage,1,否
LR969563,包含主体,0.95,LE910115,第十二条,Section,6,LE194901,受托人,Actor,6,否
LR134564,包含主体,0.95,LE910115,第十二条,Section,6,LE572836,管理人,Actor,6,否
LR782885,包含,0.2,LE823345,第八章,Chapter,5,LE446267,第五十四条,Section,5,否
LR016171,包含主体,0.95,LE926868,第九条,Section,6,LE051929,个人,Actor,6,否
LR228627,做出,1.0,LE144758,工作人员,Actor,9,LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,9,否
LR081878,做出,1.0,LE144758,工作人员,Actor,9,LE497757,买卖或者持有相关证券,Means,9,否
LR752772,做出,1.0,LE144758,工作人员,Actor,9,LE446536,抢帽子交易操纵,Means,9,否
LR693993,做出,1.0,LE400985,行为人,Actor,1,LE309592,通过拉抬、打压或锁定手段,Means,1,否
LR502678,做出,1.0,LE400985,行为人,Actor,1,LE342856,操纵某一证券品种的交易价格或者交易量,Means,1,否
LR897675,做出,1.0,LE400985,行为人,Actor,1,LE483909,锁定手段,Means,1,否
LR679216,做出,1.0,LE400985,行为人,Actor,1,LE442637,打压,Means,1,否
LR115345,做出,1.0,LE400985,行为人,Actor,1,LE674827,拉抬,Means,1,否
LR152371,做出,1.0,LE400985,行为人,Actor,1,LE378959,尾市交易操纵,Means,1,否
LR130966,做出,1.0,LE400985,行为人,Actor,1,LE362813,锁定证券交易价格,Means,1,否
LR453732,做出,1.0,LE400985,行为人,Actor,1,LE212954,通过发出买入或者卖出申报,Means,1,否
LR105450,做出,1.0,LE400985,行为人,Actor,1,LE531933,以低于市价的价格发出卖出申报,Means,1,否
LR223327,做出,1.0,LE400985,行为人,Actor,1,LE053323,以高于市价的价格发出买入申报,Means,1,否
LR598906,做出,1.0,LE400985,行为人,Actor,1,LE530149,拉抬、打压或锁定,Means,1,否
LR496696,做出,1.0,LE400985,行为人,Actor,1,LE757188,不正当手段,Means,1,否
LR399352,做出,1.0,LE400985,行为人,Actor,1,LE440505,联合买卖,Means,1,否
LR983840,做出,1.0,LE400985,行为人,Actor,1,LE940255,在某一时段内一起买入或卖出某种证券,Means,1,否
LR815919,做出,1.0,LE400985,行为人,Actor,1,LE290868,连续买卖,Means,1,否
LR500678,做出,1.0,LE400985,行为人,Actor,1,LE294394,与他人串通,Means,1,否
LR415797,做出,1.0,LE400985,行为人,Actor,1,LE304864,洗售操纵,Means,1,否
LR697143,做出,1.0,LE400985,行为人,Actor,1,LE325409,在自己实际控制的账户之间进行证券交易,Means,1,否
LR007552,做出,1.0,LE400985,行为人,Actor,1,LE730128,蛊惑交易操纵,Means,1,否
LR236406,做出,1.0,LE400985,行为人,Actor,1,LE649389,利用不真实、不准确、不完整或不确定的重大信息,Means,1,否
LR566757,做出,1.0,LE400985,行为人,Actor,1,LE273397,诱导投资者在不了解事实真相的情况下做出投资决定,Means,1,否
LR091730,做出,1.0,LE400985,行为人,Actor,1,LE155720,编造、传播或者散布不真实、不准确、不完整或不确定的重大信息之前买入或卖出相关证券,Means,1,否
LR743645,做出,1.0,LE400985,行为人,Actor,1,LE560763,编造、传播、散布不真实、不准确、不完整或不确定的重大信息及股价发生波动之后卖出或买入相关证券,Means,1,否
LR137591,做出,1.0,LE400985,行为人,Actor,1,LE352249,散布不真实、不准确、不完整或不确定的重大信息,Means,1,否
LR697739,做出,1.0,LE400985,行为人,Actor,1,LE216398,利用不真实、不准确、不完整或不确定的重大信息的行为,Means,1,否
LR551055,做出,1.0,LE400985,行为人,Actor,1,LE660677,在编造、传播或者散布不真实、不准确、不完整或不确定的重大信息之前或者之后进行证券交易,Means,1,否
LR937934,做出,1.0,LE400985,行为人,Actor,1,LE446536,抢帽子交易操纵,Means,9,是
LR651281,做出,1.0,LE400985,行为人,Actor,1,LE913923,虚假申报操纵,Means,1,否
LR178899,做出,1.0,LE400985,行为人,Actor,1,LE345150,不以成交为目的的频繁申报和撤销申报,Means,1,否
LR452007,做出,1.0,LE400985,行为人,Actor,1,LE145403,频繁申报和撤销申报,Means,1,否
LR431616,做出,1.0,LE400985,行为人,Actor,1,LE705949,连续、交替进行3次以上的申报和撤销申报,Means,1,否
LR934635,做出,1.0,LE400985,行为人,Actor,1,LE313404,频繁申报和撤销申报的行为,Means,1,否
LR533402,做出,1.0,LE400985,行为人,Actor,1,LE370660,特定时间的价格或价值操纵,Means,1,否
LR274817,控制,0.6,LE400985,行为人,Actor,1,LE155013,自己名义开设的实名账户,Account,1,否
LR843351,控制,0.6,LE400985,行为人,Actor,1,LE709445,他人名义开设的账户,Account,1,否
LR688152,控制,0.6,LE400985,行为人,Actor,1,LE713783,能够实际管理、使用或处分的他人账户,Account,1,否
LR800050,具有,0.6,LE400985,行为人,Actor,1,LE609055,资金优势,Advantage,1,否
LR545955,具有,0.6,LE400985,行为人,Actor,1,LE098964,持股优势,Advantage,1,否
LR947327,具有,0.6,LE400985,行为人,Actor,1,LE489345,信息优势,Advantage,1,否
LR724535,旨在导致,0.15,LE730128,蛊惑交易操纵,Means,1,LE691670,影响证券交易价格或交易量,Influence,1,否
LR688615,包含,0.2,LE383719,第四章,Chapter,5,LE017673,第四十八条,Section,5,否
LR419697,旨在导致,0.15,LE294394,与他人串通,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR432403,旨在导致,0.15,LE660677,在编造、传播或者散布不真实、不准确、不完整或不确定的重大信息之前或者之后进行证券交易,Means,1,LE691670,影响证券交易价格或交易量,Influence,1,否
LR029344,包含监管机构,0.15,LE017673,第四十八条,Section,5,LE074201,中国证监会,RegulatoryAuthority,5,否
LR093758,包含主体,0.95,LE017673,第四十八条,Section,5,LE073356,其他市场参与人,Actor,5,否
LR825163,包含主体,0.95,LE017673,第四十八条,Section,5,LE342202,上市公司控股股东,Actor,5,否
LR685395,包含主体,0.95,LE017673,第四十八条,Section,5,LE424259,上市公司,Actor,5,否
LR384465,旨在导致,0.15,LE053323,以高于市价的价格发出买入申报,Means,1,LE331623,致使证券交易价格形成虚拟的价格水平,Influence,1,否
LR110621,旨在导致,0.15,LE053323,以高于市价的价格发出买入申报,Means,1,LE232971,致使证券交易价格下跌,Influence,1,否
LR371287,旨在导致,0.15,LE053323,以高于市价的价格发出买入申报,Means,1,LE882651,致使证券交易价格上涨,Influence,1,否
LR442180,旨在导致,0.15,LE313404,频繁申报和撤销申报的行为,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR051605,包含主体,0.95,LE511393,第十五条,Section,1,LE921159,证券执法人员,Actor,1,否
LR021955,包含主体,0.95,LE683388,第四十七条,Section,1,LE400985,行为人,Actor,1,否
LR076204,旨在导致,0.15,LE913923,虚假申报操纵,Means,1,LE850611,影响证券交易价格或者证券交易量,Influence,1,否
LR981867,包含监管机构,0.15,LE238315,第五十七条,Section,5,LE074201,中国证监会,RegulatoryAuthority,5,否
LR816273,包含主体,0.95,LE556594,第三十四条,Section,1,LE400985,行为人,Actor,1,否
LR452312,旨在导致,0.15,LE530149,拉抬、打压或锁定,Means,1,LE331623,致使证券交易价格形成虚拟的价格水平,Influence,1,否
LR854104,旨在导致,0.15,LE530149,拉抬、打压或锁定,Means,1,LE232971,致使证券交易价格下跌,Influence,1,否
LR607514,旨在导致,0.15,LE530149,拉抬、打压或锁定,Means,1,LE882651,致使证券交易价格上涨,Influence,1,否
LR168876,做出,1.0,LE191342,单一的行为人,Actor,1,LE847802,连续买卖证券,Means,1,否
LR530528,做出,1.0,LE191342,单一的行为人,Actor,1,LE681775,联合买卖证券,Means,1,否
LR735776,具有,0.6,LE191342,单一的行为人,Actor,1,LE489345,信息优势,Advantage,1,否
LR014282,具有,0.6,LE191342,单一的行为人,Actor,1,LE098964,持股优势,Advantage,1,否
LR841775,具有,0.6,LE191342,单一的行为人,Actor,1,LE609055,资金优势,Advantage,1,否
LR106633,做出,1.0,LE191342,单一的行为人,Actor,1,LE818661,连续交易操纵,Means,1,否
LR162843,包含主体,0.95,LE444633,第四十三条,Section,1,LE400985,行为人,Actor,1,否
LR267474,旨在导致,0.15,LE818661,连续交易操纵,Means,1,LE103321,影响证券交易价格或证券交易量,Influence,1,否
LR352337,旨在导致,0.15,LE818661,连续交易操纵,Means,1,LE872601,操纵证券交易价格或者证券交易量,Influence,1,否
LR786746,需借助,0.15,LE818661,连续交易操纵,Means,1,LE489345,信息优势,Advantage,1,否
LR124356,需借助,0.15,LE818661,连续交易操纵,Means,1,LE098964,持股优势,Advantage,1,否
LR719001,需借助,0.15,LE818661,连续交易操纵,Means,1,LE609055,资金优势,Advantage,1,否
LR940200,具有,0.6,LE921159,证券执法人员,Actor,1,LE098964,持股优势,Advantage,1,否
LR396575,包含,0.2,LE241640,第五章,Chapter,5,LE463876,第五十一条,Section,5,否
LR986426,包含,0.2,LE241640,第五章,Chapter,5,LE937397,第五十条,Section,5,否
LR820552,包含,0.2,LE241640,第五章,Chapter,5,LE464629,第四十九条,Section,1,是
LR102019,做出,1.0,LE615372,专业中介机构,Actor,9,LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,9,否
LR733557,做出,1.0,LE615372,专业中介机构,Actor,9,LE497757,买卖或者持有相关证券,Means,9,否
LR002893,做出,1.0,LE615372,专业中介机构,Actor,9,LE446536,抢帽子交易操纵,Means,9,否
LR926195,旨在导致,0.15,LE342856,操纵某一证券品种的交易价格或者交易量,Means,1,LE486200,影响其他证券品种的交易价格或者交易量,Influence,1,否
LR241029,包含主体,0.95,LE131654,第四十四条,Section,1,LE400985,行为人,Actor,1,否
LR898856,包含主体,0.95,LE131666,第三十一条,Section,1,LE400985,行为人,Actor,1,否
LR940451,包含责任方,0.95,LE957794,第二十六条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR975718,规定行为,0.15,LE450106,第二十三条,Section,0,LE907041,披露,Action,0,否
LR896174,依据,0.3,LE450106,第二十三条,Section,0,LE617364,相关规则,Law,0,否
LR750965,包含责任方,0.95,LE450106,第二十三条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR040563,包含责任方,0.95,LE450106,第二十三条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR538312,包含责任方,0.95,LE450106,第二十三条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR341120,规定行为,0.15,LE450106,第二十三条,Section,0,LE941076,报告本所,Action,0,否
LR652331,规定行为,0.15,LE450106,第二十三条,Section,0,LE360924,提交董事会审议,Action,0,否
LR722063,规定行为,0.15,LE450106,第二十三条,Section,0,LE471605,变更募投项目,Action,0,否
LR414610,包含责任方,0.95,LE450106,第二十三条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR415586,包含责任方,0.95,LE962395,第五条,Section,3,LE330515,实际控制人,PartyWithResponsibility,3,否
LR638765,包含责任方,0.95,LE962395,第五条,Section,3,LE969417,控股股东,PartyWithResponsibility,3,否
LR974189,规定行为,0.15,LE082068,第二条,Section,0,LE591387,非公开发行证券,Action,0,否
LR446742,规定行为,0.15,LE082068,第二条,Section,0,LE280397,公开发行证券,Action,0,否
LR286936,包含责任方,0.95,LE082068,第二条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR678404,规定行为,0.15,LE082068,第二条,Section,0,LE808059,募集资金,Action,0,否
LR341761,包含监管机构,0.15,LE094382,第二十八条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR187367,包含责任方,0.95,LE094382,第二十八条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR544659,包含责任方,0.95,LE094382,第二十八条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR338574,包含责任方,0.95,LE094382,第二十八条,Section,0,LE818240,会计师事务所,PartyWithResponsibility,0,否
LR752609,包含责任方,0.95,LE094382,第二十八条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR545458,包含责任方,0.95,LE094382,第二十八条,Section,0,LE609526,董事会审计委员会,PartyWithResponsibility,0,否
LR190187,包含责任方,0.95,LE094382,第二十八条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR346088,执行,1.0,LE969417,控股股东,PartyWithResponsibility,3,LE637601,违反本办法,Action,3,否
LR960115,规定行为,0.15,LE822261,第十二条,Section,0,LE584323,公告,Action,0,否
LR351635,规定行为,0.15,LE822261,第十二条,Section,0,LE941076,报告本所,Action,0,否
LR939493,包含责任方,0.95,LE822261,第十二条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR009412,规定行为,0.15,LE822261,第十二条,Section,0,LE850370,以募集资金置换自筹资金,Action,0,否
LR350783,规定行为,0.15,LE822261,第十二条,Section,0,LE920968,以自筹资金预先投入募投项目,Action,0,否
LR882733,包含责任方,0.95,LE822261,第十二条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR335641,规定行为,0.15,LE196667,第八条,Section,0,LE584323,公告,Action,0,否
LR398196,包含责任方,0.95,LE196667,第八条,Section,0,LE825440,本所,PartyWithResponsibility,0,否
LR100744,规定行为,0.15,LE196667,第八条,Section,0,LE535877,查询募集资金专户资料,Action,0,否
LR906447,规定行为,0.15,LE196667,第八条,Section,0,LE250745,抄送保荐机构,Action,0,否
LR641554,规定行为,0.15,LE196667,第八条,Section,0,LE336976,签订募集资金专户存储三方监管协议,Action,0,否
LR316582,包含责任方,0.95,LE196667,第八条,Section,0,LE746112,商业银行,PartyWithResponsibility,0,否
LR545395,包含责任方,0.95,LE196667,第八条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR714617,包含责任方,0.95,LE196667,第八条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR997408,规定行为,0.15,LE504649,第九条,Section,0,LE834952,报告,Action,0,否
LR047906,包含监管机构,0.15,LE504649,第九条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR730374,规定行为,0.15,LE504649,第九条,Section,0,LE935215,履行募集资金专户存储三方监管协议,Action,0,否
LR547497,包含责任方,0.95,LE504649,第九条,Section,0,LE746112,商业银行,PartyWithResponsibility,0,否
LR209775,包含责任方,0.95,LE504649,第九条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR041098,包含责任方,0.95,LE504649,第九条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR620582,规定行为,0.15,LE884992,第二十四条,Section,0,LE471605,变更募投项目,Action,0,否
LR128011,包含责任方,0.95,LE884992,第二十四条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR514827,履行,1.0,LE536196,子公司,PartyWithResponsibility,12,LE410813,适用本办法,Responsibility,12,否
LR478301,包含,0.2,LE342738,第二章,Chapter,0,LE504649,第九条,Section,0,否
LR914972,包含,0.2,LE342738,第二章,Chapter,0,LE196667,第八条,Section,0,否
LR462736,包含,0.2,LE342738,第二章,Chapter,0,LE783261,第七条,Section,0,否
LR711337,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE826607,应当予以积极配合,Responsibility,0,否
LR753741,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE888052,应当持续关注募集资金实际管理与使用情况,Responsibility,0,否
LR809469,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE184717,在本所网站披露,Action,0,否
LR609694,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE680862,出具鉴证报告,Action,0,否
LR983206,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE586572,聘请会计师事务所,Action,0,否
LR377751,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE784812,解释具体原因,Action,0,否
LR361568,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE067712,公告改变原因,Action,0,否
LR001422,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE471605,变更募投项目,Action,0,否
LR100968,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE923177,发表明确同意意见,Action,0,否
LR967181,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE771865,必须经董事会、股东大会审议通过,Responsibility,0,否
LR685986,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE360846,应当按照招股说明书或者募集说明书所列用途使用,Responsibility,0,否
LR249692,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE353759,使用情况应在最近一期定期报告中披露,Responsibility,0,否
LR497310,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE496156,独立董事、保荐机构、监事会发表明确同意意见,Responsibility,0,否
LR733092,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE304521,应当经董事会和股东大会审议通过,Responsibility,0,否
LR449614,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE834952,报告,Action,0,否
LR172697,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE741634,发表明确同意意见,Responsibility,0,否
LR105248,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE672073,为股东提供网络投票表决方式,Responsibility,0,否
LR169627,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE460253,审议通过,Action,0,否
LR955944,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE437955,归还银行贷款,Action,0,否
LR877509,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE503969,补充流动资金,Action,0,否
LR845936,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE653545,保荐机构发表明确同意意见,Responsibility,0,否
LR469059,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE906433,暂时用于补充流动资金,Action,0,否
LR047610,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE970110,董事会审议通过,Action,0,否
LR316863,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE433592,使用闲置募集资金投资产品,Action,0,否
LR067117,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE584323,公告,Action,0,否
LR540535,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE941076,报告本所,Action,0,否
LR849007,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE533133,独立董事、监事会、保荐机构发表明确同意意见,Responsibility,0,否
LR018646,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE733675,会计师事务所出具鉴证报告,Responsibility,0,否
LR815901,履行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE273530,董事会审议通过,Responsibility,0,否
LR649071,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE850370,以募集资金置换自筹资金,Action,0,否
LR103741,执行,1.0,LE211520,董事会,PartyWithResponsibility,0,LE920968,以自筹资金预先投入募投项目,Action,0,否
